"uf","codigo_ibge","municipio","tipo","status"
"RR","1400175","Cantá","brasao","revisao_pendente"
"RR","1400175","Cantá","bandeira","revisao_pendente"
"RR","1400209","Caracaraí","brasao","revisao_pendente"
"RR","1400209","Caracaraí","bandeira","revisao_pendente"
"RR","1400233","Caroebe","brasao","revisao_pendente"
"RR","1400233","Caroebe","bandeira","revisao_pendente"
"RR","1400282","Iracema","brasao","revisao_pendente"
"RR","1400282","Iracema","bandeira","revisao_pendente"
"RR","1400308","Mucajaí","brasao","revisao_pendente"
"RR","1400308","Mucajaí","bandeira","revisao_pendente"
"RR","1400407","Normandia","brasao","revisao_pendente"
"RR","1400407","Normandia","bandeira","revisao_pendente"
"RR","1400456","Pacaraima","brasao","revisao_pendente"
"RR","1400456","Pacaraima","bandeira","revisao_pendente"
"RR","1400472","Rorainópolis","brasao","revisao_pendente"
"RR","1400472","Rorainópolis","bandeira","revisao_pendente"
"RR","1400506","São João da Baliza","brasao","revisao_pendente"
"RR","1400506","São João da Baliza","bandeira","revisao_pendente"
"RR","1400605","São Luiz do Anauá","brasao","revisao_pendente"
"RR","1400605","São Luiz do Anauá","bandeira","revisao_pendente"
"RR","1400704","Uiramutã","brasao","revisao_pendente"
"RR","1400704","Uiramutã","bandeira","revisao_pendente"
"PA","1500107","Abaetetuba","brasao","revisao_pendente"
"PA","1500107","Abaetetuba","bandeira","revisao_pendente"
"PA","1500131","Abel Figueiredo","brasao","revisao_pendente"
"PA","1500131","Abel Figueiredo","bandeira","revisao_pendente"
"PA","1500206","Acará","brasao","revisao_pendente"
"PA","1500206","Acará","bandeira","revisao_pendente"
"PA","1500305","Afuá","brasao","revisao_pendente"
"PA","1500305","Afuá","bandeira","revisao_pendente"
"PA","1500347","Água Azul do Norte","brasao","revisao_pendente"
"PA","1500347","Água Azul do Norte","bandeira","revisao_pendente"
"PA","1500404","Alenquer","brasao","revisao_pendente"
"PA","1500404","Alenquer","bandeira","revisao_pendente"
"PA","1500503","Almeirim","brasao","nao_encontrado"
"PA","1500503","Almeirim","bandeira","revisao_pendente"
"PA","1500602","Altamira","brasao","revisao_pendente"
"PA","1500602","Altamira","bandeira","revisao_pendente"
"PA","1500701","Anajás","brasao","revisao_pendente"
"PA","1500701","Anajás","bandeira","revisao_pendente"
"PA","1500800","Ananindeua","brasao","revisao_pendente"
"PA","1500800","Ananindeua","bandeira","revisao_pendente"
"PA","1500859","Anapu","brasao","revisao_pendente"
"PA","1500859","Anapu","bandeira","revisao_pendente"
"PA","1500909","Augusto Corrêa","brasao","revisao_pendente"
"PA","1500909","Augusto Corrêa","bandeira","revisao_pendente"
"PA","1500958","Aurora do Pará","brasao","revisao_pendente"
"PA","1500958","Aurora do Pará","bandeira","revisao_pendente"
"PA","1501006","Aveiro","brasao","revisao_pendente"
"PA","1501006","Aveiro","bandeira","revisao_pendente"
"PA","1501105","Bagre","brasao","revisao_pendente"
"PA","1501105","Bagre","bandeira","revisao_pendente"
"PA","1501204","Baião","brasao","revisao_pendente"
"PA","1501204","Baião","bandeira","revisao_pendente"
"PA","1501253","Bannach","brasao","nao_encontrado"
"PA","1501253","Bannach","bandeira","nao_encontrado"
"PA","1501303","Barcarena","brasao","revisao_pendente"
"PA","1501303","Barcarena","bandeira","revisao_pendente"
"PA","1501402","Belém","brasao","revisao_pendente"
"PA","1501402","Belém","bandeira","revisao_pendente"
"PA","1501451","Belterra","brasao","revisao_pendente"
"PA","1501451","Belterra","bandeira","revisao_pendente"
