"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"2105989","Lajeado Novo","MA","nao_encontrado","","","",0
"2106102","Loreto","MA","nao_encontrado","","","",0
"2106201","Luís Domingues","MA","nao_encontrado","","","",0
"2106300","Magalhães de Almeida","MA","nao_encontrado","","","",0
"2106326","Maracaçumé","MA","nao_encontrado","","","",0
"2106409","Mata Roma","MA","nao_encontrado","","","",0
"2106508","Matinha","MA","nao_encontrado","","","",0
"2106607","Matões","MA","nao_encontrado","","","",0
"2106631","Matões do Norte","MA","desatualizado","File:Que fervo.. Matões do Norte MA.webm","https://commons.wikimedia.org/wiki/File:Que_fervo.._Mat%C3%B5es_do_Norte_MA.webm","Download pendente: Timeout awaiting 'request' for 15000ms | Download adiado para revisão após 3 falhas transitórias",3
"2106672","Milagres do Maranhão","MA","nao_encontrado","","","",0
"2106805","Mirinzal","MA","nao_encontrado","","","",0
"2107001","Montes Altos","MA","nao_encontrado","","","",0
"2107100","Morros","MA","nao_encontrado","","","",0
"2107209","Nina Rodrigues","MA","nao_encontrado","","","",0
"2107258","Nova Colinas","MA","nao_encontrado","","","",0
"2107357","Nova Olinda do Maranhão","MA","nao_encontrado","","","",0
"2107407","Olho d'Água das Cunhãs","MA","nao_encontrado","","","",0
"2107506","Paço do Lumiar","MA","nao_encontrado","","","",0
"2107803","Parnarama","MA","nao_encontrado","","","",0
"2108256","Pedro do Rosário","MA","nao_encontrado","","","",0
"2108306","Penalva","MA","nao_encontrado","","","",0
"2108702","Pio XII","MA","nao_encontrado","","","",0
"2108801","Pirapemas","MA","nao_encontrado","File:Brasão e Bandeira da Cidade de Pirapemas (MA) - mbi.com.br","","",0
"2108900","Poção de Pedras","MA","nao_encontrado","","","",0
"2109106","Presidente Dutra","MA","nao_encontrado","","","",0
"2109205","Presidente Juscelino","MA","nao_encontrado","","","",0
"2109239","Presidente Médici","MA","nao_encontrado","","","",0
"2109270","Presidente Sarney","MA","nao_encontrado","","","",0
"2109551","Ribamar Fiquene","MA","nao_encontrado","","","",0
"2109700","Sambaíba","MA","nao_encontrado","","","",0
"2109809","Santa Helena","MA","nao_encontrado","","","",0
"2110005","Santa Luzia","MA","nao_encontrado","","","",0
"2110039","Santa Luzia do Paruá","MA","nao_encontrado","","","",0
"2110104","Santa Quitéria do Maranhão","MA","nao_encontrado","","","",0
"2110203","Santa Rita","MA","nao_encontrado","","","",0
"2110237","Santana do Maranhão","MA","nao_encontrado","","","",0
"2110278","Santo Amaro do Maranhão","MA","rejeitado","File:Brasão de Santo Amaro do Maranhão.pdf","https://commons.wikimedia.org/wiki/File:Bras%C3%A3o_de_Santo_Amaro_do_Maranh%C3%A3o.pdf","Validação automática de segurança: Formato de imagem não permitido",0
"2110302","Santo Antônio dos Lopes","MA","nao_encontrado","","","",0
"2110401","São Benedito do Rio Preto","MA","nao_encontrado","","","",0
"2110500","São Bento","MA","nao_encontrado","","","",0
"2110609","São Bernardo","MA","nao_encontrado","","","",0
"2110807","São Félix de Balsas","MA","nao_encontrado","","","",0
"2110856","São Francisco do Brejão","MA","nao_encontrado","","","",0
"2110906","São Francisco do Maranhão","MA","nao_encontrado","","","",0
"2111003","São João Batista","MA","nao_encontrado","","","",0
"2111029","São João do Carú","MA","nao_encontrado","","","",0
"2111052","São João do Paraíso","MA","nao_encontrado","","","",0
"2111078","São João do Soter","MA","nao_encontrado","","","",0
"2111300","São Luís","MA","rejeitado","File:Brasão de São Luís.svg","https://commons.wikimedia.org/wiki/File:Bras%C3%A3o_de_S%C3%A3o_Lu%C3%ADs.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2111409","São Luís Gonzaga do Maranhão","MA","nao_encontrado","","","",0
"2111508","São Mateus do Maranhão","MA","nao_encontrado","","","",0
"2111532","São Pedro da Água Branca","MA","nao_encontrado","","","",0
"2111573","São Pedro dos Crentes","MA","nao_encontrado","","","",0
"2111631","São Raimundo do Doca Bezerra","MA","nao_encontrado","","","",0
"2111672","São Roberto","MA","nao_encontrado","","","",0
"2111706","São Vicente Ferrer","MA","nao_encontrado","File:Bandeira de São Vicente Ferrer MA.svg","","",0
"2111748","Senador Alexandre Costa","MA","nao_encontrado","","","",0
"2111789","Serrano do Maranhão","MA","nao_encontrado","","","",0
"2111805","Sítio Novo","MA","nao_encontrado","","","",0
"2112001","Tasso Fragoso","MA","nao_encontrado","","","",0
"2112233","Trizidela do Vale","MA","nao_encontrado","","","",0
"2112274","Tufilândia","MA","nao_encontrado","","","",0
"2112308","Tuntum","MA","nao_encontrado","","","",0
"2112852","Vila Nova dos Martírios","MA","nao_encontrado","","","",0
"2113009","Vitorino Freire","MA","nao_encontrado","","","",0
"2200202","Água Branca","PI","nao_encontrado","","","",0
"2200251","Alagoinha do Piauí","PI","nao_encontrado","","","",0
"2200277","Alegrete do Piauí","PI","nao_encontrado","","","",0
"2200301","Alto Longá","PI","rejeitado","File:BRASÃO DE ALTO LONGÁ - PI.svg","https://commons.wikimedia.org/wiki/File:BRAS%C3%83O_DE_ALTO_LONG%C3%81_-_PI.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2200509","Amarante","PI","nao_encontrado","","","",0
