"codigo_ibge","municipio","uf","tipo","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1718709","Rio dos Bois","TO","brasao","nao_encontrado","","","",0
"1718709","Rio dos Bois","TO","bandeira","nao_encontrado","","","",0
"1718758","Rio Sono","TO","bandeira","nao_encontrado","","","",0
"1718808","Sampaio","TO","brasao","nao_encontrado","","","",0
"1718840","Sandolândia","TO","brasao","nao_encontrado","","","",0
"1718840","Sandolândia","TO","bandeira","nao_encontrado","","","",0
"1718899","Santa Rita do Tocantins","TO","brasao","nao_encontrado","","","",0
"1718899","Santa Rita do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1718907","Santa Rosa do Tocantins","TO","bandeira","rejeitado","File:BANDEIRA DE SANTA ROSA DO TOCANTINS.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_SANTA_ROSA_DO_TOCANTINS.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1719004","Santa Tereza do Tocantins","TO","brasao","nao_encontrado","","","",0
"1719004","Santa Tereza do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1720002","Santa Terezinha do Tocantins","TO","brasao","nao_encontrado","","","",0
"1720259","São Salvador do Tocantins","TO","brasao","nao_encontrado","","","",0
"1720259","São Salvador do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1720309","São Sebastião do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1720499","São Valério","TO","brasao","nao_encontrado","","","",0
"1720499","São Valério","TO","bandeira","nao_encontrado","","","",0
"1720655","Silvanópolis","TO","brasao","nao_encontrado","","","",0
"1720853","Sucupira","TO","brasao","nao_encontrado","","","",0
"1720853","Sucupira","TO","bandeira","nao_encontrado","","","",0
"1720937","Taipas do Tocantins","TO","brasao","nao_encontrado","","","",0
"1720937","Taipas do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1721109","Tocantínia","TO","brasao","nao_encontrado","","","",0
"1721109","Tocantínia","TO","bandeira","nao_encontrado","","","",0
"1721307","Tupiratins","TO","brasao","nao_encontrado","","","",0
"1721307","Tupiratins","TO","bandeira","nao_encontrado","","","",0
"2100105","Afonso Cunha","MA","brasao","nao_encontrado","","","",0
"2100105","Afonso Cunha","MA","bandeira","nao_encontrado","","","",0
"2100154","Água Doce do Maranhão","MA","brasao","nao_encontrado","","","",0
"2100154","Água Doce do Maranhão","MA","bandeira","nao_encontrado","","","",0
"2100303","Aldeias Altas","MA","brasao","nao_encontrado","","","",0
"2100402","Altamira do Maranhão","MA","brasao","nao_encontrado","","","",0
"2100402","Altamira do Maranhão","MA","bandeira","nao_encontrado","","","",0
"2100436","Alto Alegre do Maranhão","MA","brasao","nao_encontrado","","","",0
"2100436","Alto Alegre do Maranhão","MA","bandeira","nao_encontrado","","","",0
"2100550","Amapá do Maranhão","MA","brasao","nao_encontrado","","","",0
"2100709","Anajatuba","MA","brasao","nao_encontrado","","","",0
"2100709","Anajatuba","MA","bandeira","nao_encontrado","","","",0
"2100808","Anapurus","MA","brasao","nao_encontrado","","","",0
"2100808","Anapurus","MA","bandeira","nao_encontrado","","","",0
"2100873","Araguanã","MA","brasao","nao_encontrado","","","",0
"2101103","Axixá","MA","brasao","nao_encontrado","","","",0
"2101103","Axixá","MA","bandeira","nao_encontrado","","","",0
"2101301","Bacuri","MA","brasao","nao_encontrado","","","",0
"2101301","Bacuri","MA","bandeira","nao_encontrado","","","",0
"2101350","Bacurituba","MA","brasao","nao_encontrado","","","",0
"2101350","Bacurituba","MA","bandeira","nao_encontrado","","","",0
"2101707","Barreirinhas","MA","brasao","rejeitado","File:Brasão de barreirinhas.svg","https://commons.wikimedia.org/wiki/File:Bras%C3%A3o_de_barreirinhas.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2101707","Barreirinhas","MA","bandeira","rejeitado","File:Bandeira de barreirinhas.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_barreirinhas.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2101731","Belágua","MA","brasao","nao_encontrado","","","",0
"2101731","Belágua","MA","bandeira","nao_encontrado","","","",0
"2101772","Bela Vista do Maranhão","MA","brasao","nao_encontrado","","","",0
"2101806","Benedito Leite","MA","brasao","nao_encontrado","","","",0
"2101939","Bernardo do Mearim","MA","brasao","nao_encontrado","","","",0
"2101939","Bernardo do Mearim","MA","bandeira","nao_encontrado","","","",0
"2101970","Boa Vista do Gurupi","MA","brasao","nao_encontrado","","","",0
"2101970","Boa Vista do Gurupi","MA","bandeira","nao_encontrado","","","",0
"2102036","Bom Jesus das Selvas","MA","brasao","nao_encontrado","File:Brasão de Bom Jesus das Selvas.jpg","","",0
"2102101","Brejo","MA","brasao","nao_encontrado","","","",0
"2102150","Brejo de Areia","MA","brasao","nao_encontrado","","","",0
"2102150","Brejo de Areia","MA","bandeira","nao_encontrado","","","",0
"2102200","Buriti","MA","bandeira","rejeitado","File:Bandeira do Município de Burití.svg","https://commons.wikimedia.org/wiki/File:Bandeira_do_Munic%C3%ADpio_de_Burit%C3%AD.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2102358","Buritirana","MA","brasao","nao_encontrado","","","",0
"2102374","Cachoeira Grande","MA","brasao","nao_encontrado","","","",0
"2102374","Cachoeira Grande","MA","bandeira","nao_encontrado","","","",0
"2102408","Cajapió","MA","brasao","nao_encontrado","","","",0
"2102408","Cajapió","MA","bandeira","rejeitado","File:Bandeira Cajapió.svg","https://commons.wikimedia.org/wiki/File:Bandeira_Cajapi%C3%B3.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2102507","Cajari","MA","brasao","nao_encontrado","","","",0
"2102606","Cândido Mendes","MA","brasao","nao_encontrado","","","",0
"2102705","Cantanhede","MA","brasao","nao_encontrado","","","",0
"2102754","Capinzal do Norte","MA","brasao","nao_encontrado","","","",0
"2102903","Carutapera","MA","brasao","nao_encontrado","","","",0
"2103406","Coelho Neto","MA","brasao","nao_encontrado","","","",0
"2103802","Dom Pedro","MA","brasao","nao_encontrado","","","",0
"2103901","Duque Bacelar","MA","brasao","nao_encontrado","","","",0
"2103901","Duque Bacelar","MA","bandeira","nao_encontrado","","","",0
"2104073","Feira Nova do Maranhão","MA","brasao","nao_encontrado","","","",0
"2104073","Feira Nova do Maranhão","MA","bandeira","nao_encontrado","","","",0
"2104099","Formosa da Serra Negra","MA","brasao","nao_encontrado","","","",0
"2104099","Formosa da Serra Negra","MA","bandeira","nao_encontrado","","","",0
"2104107","Fortaleza dos Nogueiras","MA","brasao","nao_encontrado","","","",0
"2104107","Fortaleza dos Nogueiras","MA","bandeira","nao_encontrado","","","",0
"2104305","Godofredo Viana","MA","brasao","nao_encontrado","","","",0
"2104305","Godofredo Viana","MA","bandeira","nao_encontrado","","","",0
"2104503","Governador Archer","MA","brasao","nao_encontrado","","","",0
"2104503","Governador Archer","MA","bandeira","nao_encontrado","","","",0
"2104602","Governador Eugênio Barros","MA","brasao","nao_encontrado","","","",0
"2104602","Governador Eugênio Barros","MA","bandeira","nao_encontrado","","","",0
"2104628","Governador Luiz Rocha","MA","bandeira","nao_encontrado","","","",0
"2104651","Governador Newton Bello","MA","brasao","nao_encontrado","","","",0
"2104677","Governador Nunes Freire","MA","brasao","nao_encontrado","","","",0
"2104701","Graça Aranha","MA","brasao","nao_encontrado","","","",0
"2104701","Graça Aranha","MA","bandeira","nao_encontrado","","","",0
"2104909","Guimarães","MA","brasao","nao_encontrado","","","",0
"2105153","Igarapé do Meio","MA","brasao","nao_encontrado","","","",0
